date,plant_id,location,waste_type,weight_tons,source,cost_per_ton_eur,collection_zone,weather,total_cost_eur,month,month_num,quarter
2026-01-05,WTE_RTM_02,Rotterdam City,Organic,550.2,Household,70.0,North Rotterdam,Rainy,38514.0,2026-01,1,2026Q1
2026-01-05,WTE_RTM_01,Rotterdam Port,Plastic,314.4,Industrial,95.0,Central District,Rainy,29868.0,2026-01,1,2026Q1
2026-01-05,WTE_RTM_01,Rotterdam Port,Industrial Waste,393.0,Industrial,85.0,Port Area,Rainy,33405.0,2026-01,1,2026Q1
2026-01-05,WTE_RTM_02,Rotterdam City,Paper/Cardboard,157.2,Municipal,65.0,Port Area,Rainy,10218.0,2026-01,1,2026Q1
2026-01-05,WTE_RTM_02,Rotterdam City,Metal,157.2,Municipal,80.0,Central District,Rainy,12576.0,2026-01,1,2026Q1
2026-01-06,WTE_RTM_02,Rotterdam City,Organic,436.8,Household,70.0,Central District,Rainy,30576.0,2026-01,1,2026Q1
2026-01-06,WTE_RTM_01,Rotterdam Port,Plastic,249.6,Industrial,95.0,North Rotterdam,Rainy,23712.0,2026-01,1,2026Q1
2026-01-06,WTE_RTM_01,Rotterdam Port,Industrial Waste,312.0,Industrial,85.0,Port Area,Rainy,26520.0,2026-01,1,2026Q1
2026-01-06,WTE_RTM_02,Rotterdam City,Paper/Cardboard,124.8,Municipal,65.0,North Rotterdam,Rainy,8112.0,2026-01,1,2026Q1
2026-01-06,WTE_RTM_02,Rotterdam City,Metal,124.8,Municipal,80.0,Central District,Rainy,9984.0,2026-01,1,2026Q1
2026-01-07,WTE_RTM_02,Rotterdam City,Organic,516.95,Household,70.0,North Rotterdam,Cloudy,36186.5,2026-01,1,2026Q1
2026-01-07,WTE_RTM_01,Rotterdam Port,Plastic,295.4,Industrial,95.0,Port Area,Cloudy,28063.0,2026-01,1,2026Q1
2026-01-07,WTE_RTM_01,Rotterdam Port,Industrial Waste,369.25,Industrial,85.0,Port Area,Cloudy,31386.25,2026-01,1,2026Q1
2026-01-07,WTE_RTM_02,Rotterdam City,Paper/Cardboard,147.7,Municipal,65.0,North Rotterdam,Cloudy,9600.5,2026-01,1,2026Q1
2026-01-07,WTE_RTM_02,Rotterdam City,Metal,147.7,Municipal,80.0,South Rotterdam,Cloudy,11816.0,2026-01,1,2026Q1
2026-01-08,WTE_RTM_02,Rotterdam City,Organic,448.35,Household,70.0,South Rotterdam,Dry,31384.5,2026-01,1,2026Q1
2026-01-08,WTE_RTM_01,Rotterdam Port,Plastic,256.2,Industrial,95.0,Central District,Dry,24339.0,2026-01,1,2026Q1
2026-01-08,WTE_RTM_01,Rotterdam Port,Industrial Waste,320.25,Industrial,85.0,South Rotterdam,Dry,27221.25,2026-01,1,2026Q1
2026-01-08,WTE_RTM_02,Rotterdam City,Paper/Cardboard,128.1,Municipal,65.0,Port Area,Dry,8326.5,2026-01,1,2026Q1
2026-01-08,WTE_RTM_02,Rotterdam City,Metal,274.0310305123777,Municipal,80.0,Port Area,Dry,21922.48,2026-01,1,2026Q1
2026-01-09,WTE_RTM_02,Rotterdam City,Organic,406.35,Household,70.0,Central District,Rainy,28444.5,2026-01,1,2026Q1
2026-01-09,WTE_RTM_01,Rotterdam Port,Plastic,232.2,Industrial,95.0,Central District,Rainy,22059.0,2026-01,1,2026Q1
2026-01-09,WTE_RTM_01,Rotterdam Port,Industrial Waste,290.25,Industrial,85.0,South Rotterdam,Rainy,24671.25,2026-01,1,2026Q1
2026-01-09,WTE_RTM_02,Rotterdam City,Paper/Cardboard,116.1,Municipal,65.0,Port Area,Rainy,7546.5,2026-01,1,2026Q1
2026-01-09,WTE_RTM_02,Rotterdam City,Metal,116.1,Municipal,80.0,South Rotterdam,Rainy,9288.0,2026-01,1,2026Q1
2026-01-10,WTE_RTM_02,Rotterdam City,Organic,477.05,Household,70.0,Central District,Rainy,33393.5,2026-01,1,2026Q1
2026-01-10,WTE_RTM_01,Rotterdam Port,Plastic,272.6,Industrial,95.0,Central District,Rainy,25897.0,2026-01,1,2026Q1
2026-01-10,WTE_RTM_01,Rotterdam Port,Industrial Waste,340.75,Industrial,85.0,North Rotterdam,Rainy,28963.75,2026-01,1,2026Q1
2026-01-10,WTE_RTM_02,Rotterdam City,Paper/Cardboard,136.3,Municipal,65.0,Central District,Rainy,8859.5,2026-01,1,2026Q1
2026-01-10,WTE_RTM_02,Rotterdam City,Metal,136.3,Municipal,80.0,North Rotterdam,Rainy,10904.0,2026-01,1,2026Q1
2026-01-11,WTE_RTM_02,Rotterdam City,Organic,520.45,Household,70.0,Central District,Rainy,36431.5,2026-01,1,2026Q1
2026-01-11,WTE_RTM_01,Rotterdam Port,Plastic,297.4,Industrial,95.0,Port Area,Rainy,28253.0,2026-01,1,2026Q1
2026-01-11,WTE_RTM_01,Rotterdam Port,Industrial Waste,371.75,Industrial,85.0,North Rotterdam,Rainy,31598.75,2026-01,1,2026Q1
2026-01-11,WTE_RTM_02,Rotterdam City,Paper/Cardboard,148.7,Municipal,65.0,North Rotterdam,Rainy,9665.5,2026-01,1,2026Q1
2026-01-11,WTE_RTM_02,Rotterdam City,Metal,148.7,Municipal,80.0,North Rotterdam,Rainy,11896.0,2026-01,1,2026Q1
2026-01-12,WTE_RTM_02,Rotterdam City,Organic,550.2,Household,70.0,North Rotterdam,Dry,38514.0,2026-01,1,2026Q1
2026-01-12,WTE_RTM_01,Rotterdam Port,Plastic,314.4,Industrial,95.0,Central District,Dry,29868.0,2026-01,1,2026Q1
2026-01-12,WTE_RTM_01,Rotterdam Port,Industrial Waste,393.0,Industrial,85.0,South Rotterdam,Dry,33405.0,2026-01,1,2026Q1
2026-01-12,WTE_RTM_02,Rotterdam City,Paper/Cardboard,157.2,Municipal,65.0,North Rotterdam,Dry,10218.0,2026-01,1,2026Q1
2026-01-12,WTE_RTM_02,Rotterdam City,Metal,157.2,Municipal,80.0,Port Area,Dry,12576.0,2026-01,1,2026Q1
2026-01-13,WTE_RTM_02,Rotterdam City,Organic,497.7,Household,70.0,Port Area,Cloudy,34839.0,2026-01,1,2026Q1
2026-01-13,WTE_RTM_01,Rotterdam Port,Plastic,284.4,Industrial,95.0,Port Area,Cloudy,27018.0,2026-01,1,2026Q1
2026-01-13,WTE_RTM_01,Rotterdam Port,Industrial Waste,355.5,Industrial,85.0,Port Area,Cloudy,30217.5,2026-01,1,2026Q1
2026-01-13,WTE_RTM_02,Rotterdam City,Paper/Cardboard,142.2,Municipal,65.0,South Rotterdam,Cloudy,9243.0,2026-01,1,2026Q1
2026-01-13,WTE_RTM_02,Rotterdam City,Metal,142.2,Municipal,80.0,North Rotterdam,Cloudy,11376.0,2026-01,1,2026Q1
2026-01-14,WTE_RTM_02,Rotterdam City,Organic,274.0310305123777,Household,70.0,North Rotterdam,Cloudy,19182.17,2026-01,1,2026Q1
2026-01-14,WTE_RTM_01,Rotterdam Port,Plastic,322.6,Industrial,95.0,Port Area,Cloudy,30647.0,2026-01,1,2026Q1
2026-01-14,WTE_RTM_01,Rotterdam Port,Industrial Waste,403.25,Industrial,85.0,South Rotterdam,Cloudy,34276.25,2026-01,1,2026Q1
2026-01-14,WTE_RTM_02,Rotterdam City,Paper/Cardboard,161.3,Municipal,65.0,Port Area,Cloudy,10484.5,2026-01,1,2026Q1
2026-01-14,WTE_RTM_02,Rotterdam City,Metal,161.3,Municipal,80.0,Central District,Cloudy,12904.0,2026-01,1,2026Q1
2026-01-15,WTE_RTM_02,Rotterdam City,Organic,435.75,Household,70.0,North Rotterdam,Cloudy,30502.5,2026-01,1,2026Q1
2026-01-15,WTE_RTM_01,Rotterdam Port,Plastic,249.0,Industrial,78.87478361223312,North Rotterdam,Cloudy,19639.82,2026-01,1,2026Q1
2026-01-15,WTE_RTM_01,Rotterdam Port,Industrial Waste,311.25,Industrial,85.0,Central District,Cloudy,26456.25,2026-01,1,2026Q1
2026-01-15,WTE_RTM_02,Rotterdam City,Paper/Cardboard,124.5,Municipal,65.0,Port Area,Cloudy,8092.5,2026-01,1,2026Q1
2026-01-15,WTE_RTM_02,Rotterdam City,Metal,124.5,Municipal,80.0,South Rotterdam,Cloudy,9960.0,2026-01,1,2026Q1
2026-01-16,WTE_RTM_02,Rotterdam City,Organic,539.7,Household,70.0,South Rotterdam,Rainy,37779.0,2026-01,1,2026Q1
2026-01-16,WTE_RTM_01,Rotterdam Port,Plastic,308.4,Industrial,95.0,Port Area,Rainy,29298.0,2026-01,1,2026Q1
2026-01-16,WTE_RTM_01,Rotterdam Port,Industrial Waste,385.5,Industrial,85.0,Central District,Rainy,32767.5,2026-01,1,2026Q1
2026-01-16,WTE_RTM_02,Rotterdam City,Paper/Cardboard,154.2,Municipal,78.87478361223312,North Rotterdam,Rainy,12162.49,2026-01,1,2026Q1
2026-01-16,WTE_RTM_02,Rotterdam City,Metal,154.2,Municipal,80.0,North Rotterdam,Rainy,12336.0,2026-01,1,2026Q1
2026-01-17,WTE_RTM_02,Rotterdam City,Organic,406.0,Household,70.0,South Rotterdam,Rainy,28420.0,2026-01,1,2026Q1
2026-01-17,WTE_RTM_01,Rotterdam Port,Plastic,274.0310305123777,Industrial,95.0,Port Area,Rainy,26032.95,2026-01,1,2026Q1
2026-01-17,WTE_RTM_01,Rotterdam Port,Industrial Waste,290.0,Industrial,85.0,Port Area,Rainy,24650.0,2026-01,1,2026Q1
2026-01-17,WTE_RTM_02,Rotterdam City,Paper/Cardboard,116.0,Municipal,65.0,North Rotterdam,Rainy,7540.0,2026-01,1,2026Q1
2026-01-17,WTE_RTM_02,Rotterdam City,Metal,116.0,Municipal,78.87478361223312,South Rotterdam,Rainy,9149.47,2026-01,1,2026Q1
2026-01-18,WTE_RTM_02,Rotterdam City,Organic,429.1,Household,70.0,Port Area,Rainy,30037.0,2026-01,1,2026Q1
2026-01-18,WTE_RTM_01,Rotterdam Port,Plastic,274.0310305123777,Industrial,78.87478361223312,South Rotterdam,Rainy,21614.14,2026-01,1,2026Q1
2026-01-18,WTE_RTM_01,Rotterdam Port,Industrial Waste,306.5,Industrial,85.0,North Rotterdam,Rainy,26052.5,2026-01,1,2026Q1
2026-01-18,WTE_RTM_02,Rotterdam City,Paper/Cardboard,122.6,Municipal,65.0,South Rotterdam,Rainy,7969.0,2026-01,1,2026Q1
2026-01-18,WTE_RTM_02,Rotterdam City,Metal,122.6,Municipal,80.0,Central District,Rainy,9808.0,2026-01,1,2026Q1
2026-01-19,WTE_RTM_02,Rotterdam City,Organic,492.45,Household,70.0,South Rotterdam,Rainy,34471.5,2026-01,1,2026Q1
2026-01-19,WTE_RTM_01,Rotterdam Port,Plastic,281.4,Industrial,95.0,Central District,Rainy,26733.0,2026-01,1,2026Q1
2026-01-19,WTE_RTM_01,Rotterdam Port,Industrial Waste,351.75,Industrial,85.0,South Rotterdam,Rainy,29898.75,2026-01,1,2026Q1
2026-01-19,WTE_RTM_02,Rotterdam City,Paper/Cardboard,140.7,Municipal,65.0,Central District,Rainy,9145.5,2026-01,1,2026Q1
2026-01-19,WTE_RTM_02,Rotterdam City,Metal,140.7,Municipal,80.0,Central District,Rainy,11256.0,2026-01,1,2026Q1
2026-01-20,WTE_RTM_02,Rotterdam City,Organic,471.8,Household,70.0,Central District,Rainy,33026.0,2026-01,1,2026Q1
2026-01-20,WTE_RTM_01,Rotterdam Port,Plastic,269.6,Industrial,95.0,Central District,Rainy,25612.0,2026-01,1,2026Q1
2026-01-20,WTE_RTM_01,Rotterdam Port,Industrial Waste,337.0,Industrial,85.0,Port Area,Rainy,28645.0,2026-01,1,2026Q1
2026-01-20,WTE_RTM_02,Rotterdam City,Paper/Cardboard,134.8,Municipal,65.0,Central District,Rainy,8762.0,2026-01,1,2026Q1
2026-01-20,WTE_RTM_02,Rotterdam City,Metal,134.8,Municipal,80.0,Port Area,Rainy,10784.0,2026-01,1,2026Q1
2026-01-21,WTE_RTM_02,Rotterdam City,Organic,435.75,Household,70.0,South Rotterdam,Cloudy,30502.5,2026-01,1,2026Q1
2026-01-21,WTE_RTM_01,Rotterdam Port,Plastic,249.0,Industrial,95.0,North Rotterdam,Cloudy,23655.0,2026-01,1,2026Q1
2026-01-21,WTE_RTM_01,Rotterdam Port,Industrial Waste,311.25,Industrial,85.0,South Rotterdam,Cloudy,26456.25,2026-01,1,2026Q1
2026-01-21,WTE_RTM_02,Rotterdam City,Paper/Cardboard,124.5,Municipal,65.0,Central District,Cloudy,8092.5,2026-01,1,2026Q1
2026-01-21,WTE_RTM_02,Rotterdam City,Metal,124.5,Municipal,80.0,South Rotterdam,Cloudy,9960.0,2026-01,1,2026Q1
2026-01-22,WTE_RTM_02,Rotterdam City,Organic,274.0310305123777,Household,70.0,Port Area,Dry,19182.17,2026-01,1,2026Q1
2026-01-22,WTE_RTM_01,Rotterdam Port,Plastic,280.2,Industrial,95.0,South Rotterdam,Dry,26619.0,2026-01,1,2026Q1
2026-01-22,WTE_RTM_01,Rotterdam Port,Industrial Waste,350.25,Industrial,78.87478361223312,North Rotterdam,Dry,27625.89,2026-01,1,2026Q1
2026-01-22,WTE_RTM_02,Rotterdam City,Paper/Cardboard,140.1,Municipal,65.0,North Rotterdam,Dry,9106.5,2026-01,1,2026Q1
2026-01-22,WTE_RTM_02,Rotterdam City,Metal,140.1,Municipal,80.0,South Rotterdam,Dry,11208.0,2026-01,1,2026Q1
2026-01-23,WTE_RTM_02,Rotterdam City,Organic,427.0,Household,70.0,North Rotterdam,Rainy,29890.0,2026-01,1,2026Q1
2026-01-23,WTE_RTM_01,Rotterdam Port,Plastic,274.0310305123777,Industrial,95.0,North Rotterdam,Rainy,26032.95,2026-01,1,2026Q1
2026-01-23,WTE_RTM_01,Rotterdam Port,Industrial Waste,305.0,Industrial,85.0,Central District,Rainy,25925.0,2026-01,1,2026Q1
2026-01-23,WTE_RTM_02,Rotterdam City,Paper/Cardboard,122.0,Municipal,65.0,Port Area,Rainy,7930.0,2026-01,1,2026Q1
2026-01-23,WTE_RTM_02,Rotterdam City,Metal,122.0,Municipal,80.0,South Rotterdam,Rainy,9760.0,2026-01,1,2026Q1
2026-01-24,WTE_RTM_02,Rotterdam City,Organic,464.8,Household,70.0,Central District,Rainy,32536.0,2026-01,1,2026Q1
2026-01-24,WTE_RTM_01,Rotterdam Port,Plastic,265.6,Industrial,78.87478361223312,North Rotterdam,Rainy,20949.14,2026-01,1,2026Q1
2026-01-24,WTE_RTM_01,Rotterdam Port,Industrial Waste,332.0,Industrial,85.0,South Rotterdam,Rainy,28220.0,2026-01,1,2026Q1
2026-01-24,WTE_RTM_02,Rotterdam City,Paper/Cardboard,132.8,Municipal,78.87478361223312,North Rotterdam,Rainy,10474.57,2026-01,1,2026Q1
2026-01-24,WTE_RTM_02,Rotterdam City,Metal,132.8,Municipal,80.0,South Rotterdam,Rainy,10624.0,2026-01,1,2026Q1
2026-01-25,WTE_RTM_02,Rotterdam City,Organic,541.8,Household,70.0,Central District,Rainy,37926.0,2026-01,1,2026Q1
2026-01-25,WTE_RTM_01,Rotterdam Port,Plastic,309.6,Industrial,95.0,Port Area,Rainy,29412.0,2026-01,1,2026Q1
2026-01-25,WTE_RTM_01,Rotterdam Port,Industrial Waste,387.0,Industrial,85.0,North Rotterdam,Rainy,32895.0,2026-01,1,2026Q1
2026-01-25,WTE_RTM_02,Rotterdam City,Paper/Cardboard,154.8,Municipal,65.0,South Rotterdam,Rainy,10062.0,2026-01,1,2026Q1
2026-01-25,WTE_RTM_02,Rotterdam City,Metal,154.8,Municipal,80.0,Central District,Rainy,12384.0,2026-01,1,2026Q1
2026-01-26,WTE_RTM_02,Rotterdam City,Organic,467.25,Household,70.0,Port Area,Cloudy,32707.5,2026-01,1,2026Q1
2026-01-26,WTE_RTM_01,Rotterdam Port,Plastic,267.0,Industrial,95.0,North Rotterdam,Cloudy,25365.0,2026-01,1,2026Q1
2026-01-26,WTE_RTM_01,Rotterdam Port,Industrial Waste,333.75,Industrial,85.0,Port Area,Cloudy,28368.75,2026-01,1,2026Q1
2026-01-26,WTE_RTM_02,Rotterdam City,Paper/Cardboard,133.5,Municipal,65.0,South Rotterdam,Cloudy,8677.5,2026-01,1,2026Q1
2026-01-26,WTE_RTM_02,Rotterdam City,Metal,133.5,Municipal,80.0,North Rotterdam,Cloudy,10680.0,2026-01,1,2026Q1
2026-01-27,WTE_RTM_02,Rotterdam City,Organic,274.0310305123777,Household,70.0,North Rotterdam,Dry,19182.17,2026-01,1,2026Q1
2026-01-27,WTE_RTM_01,Rotterdam Port,Plastic,293.6,Industrial,95.0,Central District,Dry,27892.0,2026-01,1,2026Q1
2026-01-27,WTE_RTM_01,Rotterdam Port,Industrial Waste,367.0,Industrial,85.0,Central District,Dry,31195.0,2026-01,1,2026Q1
2026-01-27,WTE_RTM_02,Rotterdam City,Paper/Cardboard,146.8,Municipal,65.0,Port Area,Dry,9542.0,2026-01,1,2026Q1
2026-01-27,WTE_RTM_02,Rotterdam City,Metal,146.8,Municipal,80.0,North Rotterdam,Dry,11744.0,2026-01,1,2026Q1
2026-01-28,WTE_RTM_02,Rotterdam City,Organic,471.8,Household,70.0,Port Area,Cloudy,33026.0,2026-01,1,2026Q1
2026-01-28,WTE_RTM_01,Rotterdam Port,Plastic,269.6,Industrial,95.0,South Rotterdam,Cloudy,25612.0,2026-01,1,2026Q1
2026-01-28,WTE_RTM_01,Rotterdam Port,Industrial Waste,337.0,Industrial,85.0,North Rotterdam,Cloudy,28645.0,2026-01,1,2026Q1
2026-01-28,WTE_RTM_02,Rotterdam City,Paper/Cardboard,274.0310305123777,Municipal,65.0,South Rotterdam,Cloudy,17812.02,2026-01,1,2026Q1
2026-01-28,WTE_RTM_02,Rotterdam City,Metal,134.8,Municipal,80.0,Port Area,Cloudy,10784.0,2026-01,1,2026Q1
2026-01-29,WTE_RTM_02,Rotterdam City,Organic,408.45,Household,70.0,Central District,Rainy,28591.5,2026-01,1,2026Q1
2026-01-29,WTE_RTM_01,Rotterdam Port,Plastic,233.4,Industrial,95.0,North Rotterdam,Rainy,22173.0,2026-01,1,2026Q1
2026-01-29,WTE_RTM_01,Rotterdam Port,Industrial Waste,291.75,Industrial,85.0,South Rotterdam,Rainy,24798.75,2026-01,1,2026Q1
2026-01-29,WTE_RTM_02,Rotterdam City,Paper/Cardboard,116.7,Municipal,65.0,Port Area,Rainy,7585.5,2026-01,1,2026Q1
2026-01-29,WTE_RTM_02,Rotterdam City,Metal,116.7,Municipal,80.0,North Rotterdam,Rainy,9336.0,2026-01,1,2026Q1
2026-01-30,WTE_RTM_02,Rotterdam City,Organic,274.0310305123777,Household,70.0,Port Area,Cloudy,19182.17,2026-01,1,2026Q1
2026-01-30,WTE_RTM_01,Rotterdam Port,Plastic,241.0,Industrial,95.0,North Rotterdam,Cloudy,22895.0,2026-01,1,2026Q1
2026-01-30,WTE_RTM_01,Rotterdam Port,Industrial Waste,301.25,Industrial,85.0,North Rotterdam,Cloudy,25606.25,2026-01,1,2026Q1
2026-01-30,WTE_RTM_02,Rotterdam City,Paper/Cardboard,274.0310305123777,Municipal,65.0,South Rotterdam,Cloudy,17812.02,2026-01,1,2026Q1
2026-01-30,WTE_RTM_02,Rotterdam City,Metal,120.5,Municipal,80.0,Port Area,Cloudy,9640.0,2026-01,1,2026Q1
2026-01-31,WTE_RTM_02,Rotterdam City,Organic,438.9,Household,70.0,North Rotterdam,Dry,30723.0,2026-01,1,2026Q1
2026-01-31,WTE_RTM_01,Rotterdam Port,Plastic,250.8,Industrial,95.0,Port Area,Dry,23826.0,2026-01,1,2026Q1
2026-01-31,WTE_RTM_01,Rotterdam Port,Industrial Waste,313.5,Industrial,85.0,North Rotterdam,Dry,26647.5,2026-01,1,2026Q1
2026-01-31,WTE_RTM_02,Rotterdam City,Paper/Cardboard,125.4,Municipal,65.0,South Rotterdam,Dry,8151.0,2026-01,1,2026Q1
2026-01-31,WTE_RTM_02,Rotterdam City,Metal,125.4,Municipal,80.0,North Rotterdam,Dry,10032.0,2026-01,1,2026Q1
2026-02-01,WTE_RTM_02,Rotterdam City,Organic,480.2,Household,70.0,Port Area,Dry,33614.0,2026-02,2,2026Q1
2026-02-01,WTE_RTM_01,Rotterdam Port,Plastic,274.4,Industrial,95.0,Port Area,Dry,26068.0,2026-02,2,2026Q1
2026-02-01,WTE_RTM_01,Rotterdam Port,Industrial Waste,343.0,Industrial,85.0,Port Area,Dry,29155.0,2026-02,2,2026Q1
2026-02-01,WTE_RTM_02,Rotterdam City,Paper/Cardboard,137.2,Municipal,65.0,Central District,Dry,8918.0,2026-02,2,2026Q1
2026-02-01,WTE_RTM_02,Rotterdam City,Metal,137.2,Municipal,80.0,South Rotterdam,Dry,10976.0,2026-02,2,2026Q1
2026-02-02,WTE_RTM_02,Rotterdam City,Organic,523.25,Household,70.0,South Rotterdam,Rainy,36627.5,2026-02,2,2026Q1
2026-02-02,WTE_RTM_01,Rotterdam Port,Plastic,299.0,Industrial,95.0,Port Area,Rainy,28405.0,2026-02,2,2026Q1
2026-02-02,WTE_RTM_01,Rotterdam Port,Industrial Waste,373.75,Industrial,78.87478361223312,South Rotterdam,Rainy,29479.45,2026-02,2,2026Q1
2026-02-02,WTE_RTM_02,Rotterdam City,Paper/Cardboard,149.5,Municipal,65.0,Port Area,Rainy,9717.5,2026-02,2,2026Q1
2026-02-02,WTE_RTM_02,Rotterdam City,Metal,149.5,Municipal,80.0,North Rotterdam,Rainy,11960.0,2026-02,2,2026Q1
2026-02-03,WTE_RTM_02,Rotterdam City,Organic,395.85,Household,70.0,North Rotterdam,Cloudy,27709.5,2026-02,2,2026Q1
2026-02-03,WTE_RTM_01,Rotterdam Port,Plastic,226.2,Industrial,95.0,Central District,Cloudy,21489.0,2026-02,2,2026Q1
2026-02-03,WTE_RTM_01,Rotterdam Port,Industrial Waste,282.75,Industrial,85.0,Port Area,Cloudy,24033.75,2026-02,2,2026Q1
2026-02-03,WTE_RTM_02,Rotterdam City,Paper/Cardboard,113.1,Municipal,65.0,Central District,Cloudy,7351.5,2026-02,2,2026Q1
2026-02-03,WTE_RTM_02,Rotterdam City,Metal,274.0310305123777,Municipal,80.0,North Rotterdam,Cloudy,21922.48,2026-02,2,2026Q1
2026-02-04,WTE_RTM_02,Rotterdam City,Organic,480.2,Household,70.0,Central District,Rainy,33614.0,2026-02,2,2026Q1
2026-02-04,WTE_RTM_01,Rotterdam Port,Plastic,274.4,Industrial,95.0,North Rotterdam,Rainy,26068.0,2026-02,2,2026Q1
2026-02-04,WTE_RTM_01,Rotterdam Port,Industrial Waste,343.0,Industrial,85.0,South Rotterdam,Rainy,29155.0,2026-02,2,2026Q1
2026-02-04,WTE_RTM_02,Rotterdam City,Paper/Cardboard,137.2,Municipal,65.0,Port Area,Rainy,8918.0,2026-02,2,2026Q1
2026-02-04,WTE_RTM_02,Rotterdam City,Metal,137.2,Municipal,80.0,Central District,Rainy,10976.0,2026-02,2,2026Q1
2026-02-05,WTE_RTM_02,Rotterdam City,Organic,420.7,Household,70.0,Central District,Rainy,29449.0,2026-02,2,2026Q1
2026-02-05,WTE_RTM_01,Rotterdam Port,Plastic,240.4,Industrial,95.0,North Rotterdam,Rainy,22838.0,2026-02,2,2026Q1
2026-02-05,WTE_RTM_01,Rotterdam Port,Industrial Waste,300.5,Industrial,85.0,Port Area,Rainy,25542.5,2026-02,2,2026Q1
2026-02-05,WTE_RTM_02,Rotterdam City,Paper/Cardboard,120.2,Municipal,65.0,South Rotterdam,Rainy,7813.0,2026-02,2,2026Q1
2026-02-05,WTE_RTM_02,Rotterdam City,Metal,120.2,Municipal,80.0,Central District,Rainy,9616.0,2026-02,2,2026Q1
2026-02-06,WTE_RTM_02,Rotterdam City,Organic,431.2,Household,70.0,South Rotterdam,Cloudy,30184.0,2026-02,2,2026Q1
2026-02-06,WTE_RTM_01,Rotterdam Port,Plastic,246.4,Industrial,95.0,Port Area,Cloudy,23408.0,2026-02,2,2026Q1
2026-02-06,WTE_RTM_01,Rotterdam Port,Industrial Waste,308.0,Industrial,85.0,North Rotterdam,Cloudy,26180.0,2026-02,2,2026Q1
2026-02-06,WTE_RTM_02,Rotterdam City,Paper/Cardboard,123.2,Municipal,65.0,Port Area,Cloudy,8008.0,2026-02,2,2026Q1
2026-02-06,WTE_RTM_02,Rotterdam City,Metal,123.2,Municipal,80.0,North Rotterdam,Cloudy,9856.0,2026-02,2,2026Q1
2026-02-07,WTE_RTM_02,Rotterdam City,Organic,494.2,Household,70.0,Port Area,Rainy,34594.0,2026-02,2,2026Q1
2026-02-07,WTE_RTM_01,Rotterdam Port,Plastic,282.4,Industrial,95.0,Central District,Rainy,26828.0,2026-02,2,2026Q1
